"","site","network_position","eco_type","date","season","depth_m","param","result","mon"
"28","ARIKAREE","1","glacier",1997-08-14,"Summer",NA,"tn.tp",92.4666666666667,8
"29","ARIKAREE","1","glacier",1997-08-21,"Summer",NA,"tn.tp",79.8571428571428,8
"30","ARIKAREE","1","glacier",1997-08-28,"Summer",NA,"tn.tp",52.25,8
"31","ARIKAREE","1","glacier",1997-09-04,"Summer",NA,"tn.tp",92.7857142857143,9
"32","ARIKAREE","1","glacier",1997-09-11,"Summer",NA,"tn.tp",57.4736842105263,9
"33","ARIKAREE","1","glacier",1997-09-18,"Summer",NA,"tn.tp",118.285714285714,9
"34","ARIKAREE","1","glacier",1997-09-25,"Summer",NA,"tn.tp",158.0625,9
"35","ARIKAREE","1","glacier",1997-10-02,"Summer",NA,"tn.tp",71.9354838709677,10
"36","ARIKAREE","1","glacier",1998-05-28,"Winter",NA,"tn.tp",184.727272727273,5
"37","ARIKAREE","1","glacier",1998-06-04,"Snowmelt runoff",NA,"tn.tp",212.068965517241,6
"38","ARIKAREE","1","glacier",1998-06-25,"Snowmelt runoff",NA,"tn.tp",102.185185185185,6
"39","ARIKAREE","1","glacier",1998-07-02,"Snowmelt runoff",NA,"tn.tp",67.7307692307692,7
"40","ARIKAREE","1","glacier",1998-07-09,"Snowmelt runoff",NA,"tn.tp",144.333333333333,7
"41","ARIKAREE","1","glacier",1998-07-16,"Snowmelt runoff",NA,"tn.tp",40.8611111111111,7
"42","ARIKAREE","1","glacier",1998-07-23,"Snowmelt runoff",NA,"tn.tp",41.0645161290323,7
"43","ARIKAREE","1","glacier",1998-07-30,"Snowmelt runoff",NA,"tn.tp",58.2631578947368,7
"44","ARIKAREE","1","glacier",1998-08-06,"Summer",NA,"tn.tp",66,8
"45","ARIKAREE","1","glacier",1998-08-13,"Summer",NA,"tn.tp",127,8
"46","ARIKAREE","1","glacier",1998-08-20,"Summer",NA,"tn.tp",185.285714285714,8
"47","ARIKAREE","1","glacier",1998-08-27,"Summer",NA,"tn.tp",37.9705882352941,8
"48","ARIKAREE","1","glacier",1998-09-03,"Summer",NA,"tn.tp",79.8095238095238,9
"49","ARIKAREE","1","glacier",1998-09-10,"Summer",NA,"tn.tp",63.5454545454545,9
"50","ARIKAREE","1","glacier",1998-09-17,"Summer",NA,"tn.tp",156,9
"51","ARIKAREE","1","glacier",1998-09-24,"Summer",NA,"tn.tp",154.25,9
"52","ARIKAREE","1","glacier",1998-10-01,"Summer",NA,"tn.tp",92.7368421052632,10
"53","ARIKAREE","1","glacier",1999-06-24,"Snowmelt runoff",NA,"tn.tp",128.137931034483,6
"54","ARIKAREE","1","glacier",1999-07-01,"Snowmelt runoff",NA,"tn.tp",119.2,7
"55","ARIKAREE","1","glacier",1999-07-08,"Snowmelt runoff",NA,"tn.tp",180.357142857143,7
"56","ARIKAREE","1","glacier",1999-07-15,"Snowmelt runoff",NA,"tn.tp",65.0333333333333,7
"57","ARIKAREE","1","glacier",1999-07-22,"Snowmelt runoff",NA,"tn.tp",73.1739130434783,7
"58","ARIKAREE","1","glacier",1999-08-05,"Summer",NA,"tn.tp",95.15,8
"59","ARIKAREE","1","glacier",1999-08-12,"Summer",NA,"tn.tp",71.44,8
"60","ARIKAREE","1","glacier",1999-08-19,"Summer",NA,"tn.tp",124.666666666667,8
"61","ARIKAREE","1","glacier",1999-08-26,"Summer",NA,"tn.tp",126,8
"62","ARIKAREE","1","glacier",1999-09-02,"Summer",NA,"tn.tp",96.1363636363636,9
"63","ARIKAREE","1","glacier",1999-09-07,"Summer",NA,"tn.tp",85.5925925925926,9
"64","ARIKAREE","1","glacier",1999-09-14,"Summer",NA,"tn.tp",113.739130434783,9
"65","ARIKAREE","1","glacier",1999-09-21,"Summer",NA,"tn.tp",52.3181818181818,9
"66","ARIKAREE","1","glacier",2002-06-13,"Snowmelt runoff",NA,"tn.tp",166,6
"67","ARIKAREE","1","glacier",2002-06-20,"Snowmelt runoff",NA,"tn.tp",115.620689655172,6
"68","ARIKAREE","1","glacier",2002-06-27,"Snowmelt runoff",NA,"tn.tp",64.4838709677419,6
"69","ARIKAREE","1","glacier",2002-07-04,"Snowmelt runoff",NA,"tn.tp",134.761904761905,7
"70","ARIKAREE","1","glacier",2002-07-11,"Snowmelt runoff",NA,"tn.tp",55.258064516129,7
"71","ARIKAREE","1","glacier",2002-07-18,"Snowmelt runoff",NA,"tn.tp",70.5277777777778,7
"72","ARIKAREE","1","glacier",2002-08-15,"Summer",NA,"tn.tp",122.787878787879,8
"73","ARIKAREE","1","glacier",2002-08-22,"Summer",NA,"tn.tp",91.5576923076923,8
"74","ARIKAREE","1","glacier",2002-08-29,"Summer",NA,"tn.tp",91.54,8
"75","ARIKAREE","1","glacier",2002-09-05,"Summer",NA,"tn.tp",204.086956521739,9
"76","ARIKAREE","1","glacier",2003-06-19,"Snowmelt runoff",NA,"tn.tp",244.55,6
"77","ARIKAREE","1","glacier",2003-06-26,"Snowmelt runoff",NA,"tn.tp",139.444444444444,6
"78","ARIKAREE","1","glacier",2003-07-03,"Snowmelt runoff",NA,"tn.tp",88.6153846153846,7
"79","ARIKAREE","1","glacier",2003-07-10,"Snowmelt runoff",NA,"tn.tp",40.1818181818182,7
"80","ARIKAREE","1","glacier",2003-07-15,"Snowmelt runoff",NA,"tn.tp",76.9130434782609,7
"81","ARIKAREE","1","glacier",2003-07-17,"Snowmelt runoff",NA,"tn.tp",91.1666666666667,7
"82","ARIKAREE","1","glacier",2003-07-24,"Snowmelt runoff",NA,"tn.tp",106.071428571429,7
"83","ARIKAREE","1","glacier",2003-08-07,"Summer",NA,"tn.tp",74.8333333333333,8
"84","ARIKAREE","1","glacier",2003-08-14,"Summer",NA,"tn.tp",84.2,8
"85","ARIKAREE","1","glacier",2003-08-21,"Summer",NA,"tn.tp",217.846153846154,8
"86","ARIKAREE","1","glacier",2003-08-28,"Summer",NA,"tn.tp",145.894736842105,8
"87","ARIKAREE","1","glacier",2003-09-04,"Summer",NA,"tn.tp",229.0625,9
"88","ARIKAREE","1","glacier",2003-09-18,"Summer",NA,"tn.tp",132.826086956522,9
"89","ARIKAREE","1","glacier",2004-06-10,"Snowmelt runoff",NA,"tn.tp",237.653846153846,6
"91","ARIKAREE","1","glacier",2004-06-24,"Snowmelt runoff",NA,"tn.tp",232.625,6
"92","ARIKAREE","1","glacier",2004-07-01,"Snowmelt runoff",NA,"tn.tp",165.291666666667,7
"93","ARIKAREE","1","glacier",2004-07-08,"Snowmelt runoff",NA,"tn.tp",115.125,7
"94","ARIKAREE","1","glacier",2004-07-15,"Snowmelt runoff",NA,"tn.tp",73.9166666666667,7
"95","ARIKAREE","1","glacier",2004-07-22,"Snowmelt runoff",NA,"tn.tp",52.4736842105263,7
"96","ARIKAREE","1","glacier",2004-07-29,"Snowmelt runoff",NA,"tn.tp",70.9310344827586,7
"97","ARIKAREE","1","glacier",2004-08-05,"Summer",NA,"tn.tp",53.6285714285714,8
"98","ARIKAREE","1","glacier",2004-08-12,"Summer",NA,"tn.tp",79.95,8
"99","ARIKAREE","1","glacier",2004-08-19,"Summer",NA,"tn.tp",136,8
"100","ARIKAREE","1","glacier",2004-08-26,"Summer",NA,"tn.tp",132.37037037037,8
"101","ARIKAREE","1","glacier",2004-09-02,"Summer",NA,"tn.tp",101.6875,9
"102","ARIKAREE","1","glacier",2004-09-09,"Summer",NA,"tn.tp",158.533333333333,9
"103","ARIKAREE","1","glacier",2004-09-16,"Summer",NA,"tn.tp",180.689655172414,9
"104","ARIKAREE","1","glacier",2005-06-16,"Snowmelt runoff",NA,"tn.tp",117.352941176471,6
"105","ARIKAREE","1","glacier",2005-06-23,"Snowmelt runoff",NA,"tn.tp",87.741935483871,6
"106","ARIKAREE","1","glacier",2005-06-30,"Snowmelt runoff",NA,"tn.tp",157.909090909091,6
"109","ARIKAREE","1","glacier",2005-07-21,"Snowmelt runoff",NA,"tn.tp",181.6,7
"110","ARIKAREE","1","glacier",2005-07-28,"Snowmelt runoff",NA,"tn.tp",71.4166666666667,7
"111","ARIKAREE","1","glacier",2005-08-04,"Summer",NA,"tn.tp",105.285714285714,8
"112","ARIKAREE","1","glacier",2005-08-11,"Summer",NA,"tn.tp",82.1739130434783,8
"113","ARIKAREE","1","glacier",2005-08-18,"Summer",NA,"tn.tp",90.0869565217391,8
"114","ARIKAREE","1","glacier",2005-08-25,"Summer",NA,"tn.tp",125.153846153846,8
"115","ARIKAREE","1","glacier",2005-09-01,"Summer",NA,"tn.tp",74.4333333333333,9
"116","ARIKAREE","1","glacier",2005-09-08,"Summer",NA,"tn.tp",79.2,9
"117","ARIKAREE","1","glacier",2005-09-15,"Summer",NA,"tn.tp",109.69696969697,9
"118","ARIKAREE","1","glacier",2005-09-22,"Summer",NA,"tn.tp",183.904761904762,9
"119","ARIKAREE","1","glacier",2006-06-16,"Snowmelt runoff",NA,"tn.tp",205.5625,6
"120","ARIKAREE","1","glacier",2006-06-22,"Snowmelt runoff",NA,"tn.tp",118.318181818182,6
"121","ARIKAREE","1","glacier",2006-06-29,"Snowmelt runoff",NA,"tn.tp",101.318181818182,6
"122","ARIKAREE","1","glacier",2006-07-06,"Snowmelt runoff",NA,"tn.tp",53.1875,7
"123","ARIKAREE","1","glacier",2006-07-13,"Snowmelt runoff",NA,"tn.tp",35.1944444444444,7
"124","ARIKAREE","1","glacier",2006-07-20,"Snowmelt runoff",NA,"tn.tp",42.84375,7
"125","ARIKAREE","1","glacier",2006-07-27,"Snowmelt runoff",NA,"tn.tp",42.5,7
"126","ARIKAREE","1","glacier",2006-08-03,"Summer",NA,"tn.tp",33.0810810810811,8
"127","ARIKAREE","1","glacier",2006-08-10,"Summer",NA,"tn.tp",48.5172413793103,8
"128","ARIKAREE","1","glacier",2006-08-17,"Summer",NA,"tn.tp",67.4,8
"129","ARIKAREE","1","glacier",2006-08-24,"Summer",NA,"tn.tp",63.75,8
"130","ARIKAREE","1","glacier",2006-08-31,"Summer",NA,"tn.tp",104.28,8
"131","ARIKAREE","1","glacier",2006-09-07,"Summer",NA,"tn.tp",132.090909090909,9
"132","ARIKAREE","1","glacier",2006-09-14,"Summer",NA,"tn.tp",179.766666666667,9
"133","ARIKAREE","1","glacier",2007-06-21,"Snowmelt runoff",NA,"tn.tp",162.586373021335,6
"134","ARIKAREE","1","glacier",2007-06-28,"Snowmelt runoff",NA,"tn.tp",109.375658098482,6
"135","ARIKAREE","1","glacier",2007-07-05,"Snowmelt runoff",NA,"tn.tp",207.854115729421,7
"136","ARIKAREE","1","glacier",2007-07-12,"Snowmelt runoff",NA,"tn.tp",108.3598820059,7
"138","ARIKAREE","1","glacier",2007-07-26,"Snowmelt runoff",NA,"tn.tp",223.123943661972,7
"139","ARIKAREE","1","glacier",2007-08-02,"Summer",NA,"tn.tp",221.591481122943,8
"145","ARIKAREE","1","glacier",2008-06-19,"Snowmelt runoff",NA,"tn.tp",142.21895124195,6
"146","ARIKAREE","1","glacier",2008-07-03,"Snowmelt runoff",NA,"tn.tp",108.812030075188,7
"147","ARIKAREE","1","glacier",2008-07-10,"Snowmelt runoff",NA,"tn.tp",189.133285302594,7
"148","ARIKAREE","1","glacier",2008-07-17,"Snowmelt runoff",NA,"tn.tp",158.631123919308,7
"149","ARIKAREE","1","glacier",2008-07-24,"Snowmelt runoff",NA,"tn.tp",65.0566587238549,7
"150","ARIKAREE","1","glacier",2008-07-31,"Snowmelt runoff",NA,"tn.tp",134.130403458213,7
"151","ARIKAREE","1","glacier",2008-08-07,"Summer",NA,"tn.tp",155.793804900601,8
"152","ARIKAREE","1","glacier",2008-08-14,"Summer",NA,"tn.tp",100.563053097345,8
"153","ARIKAREE","1","glacier",2008-08-21,"Summer",NA,"tn.tp",203.295472597299,8
"154","ARIKAREE","1","glacier",2008-08-28,"Summer",NA,"tn.tp",151.634007585335,8
"155","ARIKAREE","1","glacier",2008-09-04,"Summer",NA,"tn.tp",96.5043731778426,9
"156","ARIKAREE","1","glacier",2008-09-18,"Summer",NA,"tn.tp",230.844641101278,9
"157","ARIKAREE","1","glacier",1999-06-17,"Snowmelt runoff",NA,"tn.tp",215.607142857143,6
"158","ARIKAREE","1","glacier",2003-06-12,"Snowmelt runoff",NA,"tn.tp",201.344827586207,6
"137","GL5_INLET","2","stream",2006-06-15,"Snowmelt runoff",0,"tn.tp",174.947368421053,6
"210","GL5_INLET","2","stream",2006-06-22,"Snowmelt runoff",0,"tn.tp",129.708333333333,6
"310","GL5_INLET","2","stream",2006-06-29,"Snowmelt runoff",0,"tn.tp",93.7931034482759,6
"410","GL5_INLET","2","stream",2006-07-06,"Snowmelt runoff",0,"tn.tp",64.9117647058823,7
"5","GL5_INLET","2","stream",2006-07-13,"Snowmelt runoff",0,"tn.tp",42.8604651162791,7
"610","GL5_INLET","2","stream",2006-07-20,"Snowmelt runoff",0,"tn.tp",47.2777777777778,7
"710","GL5_INLET","2","stream",2006-07-27,"Snowmelt runoff",0,"tn.tp",78.0384615384615,7
"810","GL5_INLET","2","stream",2006-08-01,"Summer",0,"tn.tp",99.8823529411765,8
"910","GL5_INLET","2","stream",2006-08-10,"Summer",0,"tn.tp",67.6206896551724,8
"107","GL5_INLET","2","stream",2006-08-17,"Summer",0,"tn.tp",84.8461538461538,8
"1110","GL5_INLET","2","stream",2006-09-07,"Summer",0,"tn.tp",101.322580645161,9
"1210","GL5_INLET","2","stream",2006-06-08,"Snowmelt runoff",0,"tn.tp",177.740740740741,6
"140","GL5_OUTLET","4","stream",2006-06-01,"Snowmelt runoff",0,"tn.tp",163.47619047619,6
"211","GL5_OUTLET","4","stream",2006-06-08,"Snowmelt runoff",0,"tn.tp",156.142857142857,6
"311","GL5_OUTLET","4","stream",2006-06-16,"Snowmelt runoff",0,"tn.tp",130.521739130435,6
"411","GL5_OUTLET","4","stream",2006-06-22,"Snowmelt runoff",0,"tn.tp",165.8,6
"510","GL5_OUTLET","4","stream",2006-06-29,"Snowmelt runoff",0,"tn.tp",151.8,6
"611","GL5_OUTLET","4","stream",2006-07-06,"Snowmelt runoff",0,"tn.tp",70.4814814814815,7
"711","GL5_OUTLET","4","stream",2006-07-13,"Snowmelt runoff",0,"tn.tp",59.3870967741936,7
"811","GL5_OUTLET","4","stream",2006-07-20,"Snowmelt runoff",0,"tn.tp",53.1739130434783,7
"911","GL5_OUTLET","4","stream",2006-07-27,"Snowmelt runoff",0,"tn.tp",53.0476190476191,7
"108","GL5_OUTLET","4","stream",2006-08-01,"Summer",0,"tn.tp",64.8235294117647,8
"1111","GL5_OUTLET","4","stream",2006-08-03,"Summer",0,"tn.tp",36.4074074074074,8
"1211","GL5_OUTLET","4","stream",2006-08-10,"Summer",0,"tn.tp",30.8260869565217,8
"1310","GL5_OUTLET","4","stream",2006-08-17,"Summer",0,"tn.tp",18.8918918918919,8
"141","GL5_OUTLET","4","stream",2006-08-24,"Summer",0,"tn.tp",32.6666666666667,8
"159","GL5_OUTLET","4","stream",2006-08-31,"Summer",0,"tn.tp",32.53125,8
"161","GL5_OUTLET","4","stream",2006-09-07,"Summer",0,"tn.tp",62.3157894736842,9
"171","GL5_OUTLET","4","stream",2006-09-14,"Summer",0,"tn.tp",60.32,9
"181","GL5_OUTLET","4","stream",2006-09-26,"Summer",0,"tn.tp",58.9032258064516,9
"191","GL5_OUTLET","4","stream",2006-10-05,"Summer",0,"tn.tp",60.3103448275862,10
"201","GL5_OUTLET","4","stream",2007-05-17,"Winter",0,"tn.tp",134.572727272727,5
"212","GL5_OUTLET","4","stream",2007-05-31,"Winter",0,"tn.tp",217.135271807838,5
"221","GL5_OUTLET","4","stream",2007-06-14,"Snowmelt runoff",0,"tn.tp",139.933410762679,6
"231","GL5_OUTLET","4","stream",2007-06-21,"Snowmelt runoff",0,"tn.tp",372.433802816901,6
"241","GL5_OUTLET","4","stream",2007-06-28,"Snowmelt runoff",0,"tn.tp",75.9389246054939,6
"251","GL5_OUTLET","4","stream",2007-07-05,"Snowmelt runoff",0,"tn.tp",165.169037656904,7
"261","GL5_OUTLET","4","stream",2007-07-12,"Snowmelt runoff",0,"tn.tp",94.1528991262907,7
"271","GL5_OUTLET","4","stream",2007-07-26,"Snowmelt runoff",0,"tn.tp",317.391621129326,7
"281","GL5_OUTLET","4","stream",2007-08-02,"Summer",0,"tn.tp",417.944535073409,8
"291","GL5_OUTLET","4","stream",2007-08-09,"Summer",0,"tn.tp",527.305785123967,8
"301","GL5_OUTLET","4","stream",2007-08-16,"Summer",0,"tn.tp",367.821493624772,8
"312","GL5_OUTLET","4","stream",2007-08-23,"Summer",0,"tn.tp",364.384991843393,8
"321","GL5_OUTLET","4","stream",2007-08-30,"Summer",0,"tn.tp",558.976789168279,8
"331","GL5_OUTLET","4","stream",2007-09-07,"Summer",0,"tn.tp",508.890092879257,9
"341","GL5_OUTLET","4","stream",2007-09-13,"Summer",0,"tn.tp",438.274647887324,9
"351","GL5_OUTLET","4","stream",2007-09-20,"Summer",0,"tn.tp",254.874631268437,9
"361","GL5_OUTLET","4","stream",2007-09-27,"Summer",0,"tn.tp",349.515486725664,9
"371","GL5_OUTLET","4","stream",2007-10-04,"Summer",0,"tn.tp",371.045407636739,10
"381","GL5_OUTLET","4","stream",2007-10-11,"Summer",0,"tn.tp",429.181623931624,10
"391","GL5_OUTLET","4","stream",2008-06-02,"Snowmelt runoff",0,"tn.tp",269.016393442623,6
"401","GL5_OUTLET","4","stream",2008-06-12,"Snowmelt runoff",0,"tn.tp",301.990634005764,6
"412","GL5_OUTLET","4","stream",2008-06-19,"Snowmelt runoff",0,"tn.tp",234.229415904293,6
"421","GL5_OUTLET","4","stream",2008-06-26,"Snowmelt runoff",0,"tn.tp",234.085545722714,6
"431","GL5_OUTLET","4","stream",2008-07-03,"Snowmelt runoff",0,"tn.tp",136.949324324324,7
"441","GL5_OUTLET","4","stream",2008-07-10,"Snowmelt runoff",0,"tn.tp",364.044891640867,7
"451","GL5_OUTLET","4","stream",2008-07-17,"Snowmelt runoff",0,"tn.tp",147.710302091402,7
"461","GL5_OUTLET","4","stream",2008-07-24,"Snowmelt runoff",0,"tn.tp",131.328530259366,7
"471","GL5_OUTLET","4","stream",2008-07-31,"Snowmelt runoff",0,"tn.tp",117.081899518238,7
"481","GL5_OUTLET","4","stream",2008-08-14,"Summer",0,"tn.tp",157.212121212121,8
"491","GL5_OUTLET","4","stream",2008-08-21,"Summer",0,"tn.tp",214.075528700906,8
"501","GL5_OUTLET","4","stream",2008-08-28,"Summer",0,"tn.tp",191.28628800918,8
"511","GL5_OUTLET","4","stream",2008-09-04,"Summer",0,"tn.tp",200.969739619986,9
"521","GL5_OUTLET","4","stream",2008-09-18,"Summer",0,"tn.tp",227.140960809102,9
"531","GL5_OUTLET","4","stream",2008-10-03,"Summer",0,"tn.tp",203.411956521739,10
"142","GL4_INLET","5","stream",2002-06-27,"Snowmelt runoff",0,"tn.tp",112.545454545455,6
"213","GL4_INLET","5","stream",2004-07-06,"Snowmelt runoff",0,"tn.tp",197.571428571429,7
"313","GL4_INLET","5","stream",2004-07-13,"Snowmelt runoff",0,"tn.tp",211.25,7
"413","GL4_INLET","5","stream",2004-07-20,"Snowmelt runoff",0,"tn.tp",106.809523809524,7
"512","GL4_INLET","5","stream",2004-07-27,"Snowmelt runoff",0,"tn.tp",122.736842105263,7
"612","GL4_INLET","5","stream",2004-08-12,"Summer",0,"tn.tp",68.3333333333333,8
"812","GL4_INLET","5","stream",2005-07-12,"Snowmelt runoff",0,"tn.tp",85.75,7
"912","GL4_INLET","5","stream",2005-07-19,"Snowmelt runoff",0,"tn.tp",229.125,7
"1010","GL4_INLET","5","stream",2005-07-26,"Snowmelt runoff",0,"tn.tp",107.4375,7
"1112","GL4_INLET","5","stream",2005-08-02,"Summer",0,"tn.tp",111.857142857143,8
"1212","GL4_INLET","5","stream",2005-08-10,"Summer",0,"tn.tp",113.736842105263,8
"1311","GL4_INLET","5","stream",2005-08-16,"Summer",0,"tn.tp",86.0769230769231,8
"143","GL4_INLET","5","stream",2005-09-02,"Summer",0,"tn.tp",86.65,9
"1510","GL4_INLET","5","stream",2005-09-13,"Summer",0,"tn.tp",121.75,9
"162","GL4_INLET","5","stream",2006-06-08,"Snowmelt runoff",0,"tn.tp",144.833333333333,6
"172","GL4_INLET","5","stream",2006-06-15,"Snowmelt runoff",0,"tn.tp",194.416666666667,6
"182","GL4_INLET","5","stream",2006-06-22,"Snowmelt runoff",0,"tn.tp",137.307692307692,6
"192","GL4_INLET","5","stream",2006-06-29,"Snowmelt runoff",0,"tn.tp",131.5,6
"202","GL4_INLET","5","stream",2006-07-06,"Snowmelt runoff",0,"tn.tp",94.5555555555556,7
"214","GL4_INLET","5","stream",2006-07-13,"Snowmelt runoff",0,"tn.tp",197,7
"222","GL4_INLET","5","stream",2006-07-20,"Snowmelt runoff",0,"tn.tp",155,7
"242","GL4_INLET","5","stream",2006-08-01,"Summer",0,"tn.tp",108.909090909091,8
"252","GL4_INLET","5","stream",2006-08-03,"Summer",0,"tn.tp",98.9473684210526,8
"262","GL4_INLET","5","stream",2006-08-10,"Summer",0,"tn.tp",150.25,8
"272","GL4_INLET","5","stream",2006-08-17,"Summer",0,"tn.tp",119,8
"282","GL4_INLET","5","stream",2006-08-24,"Summer",0,"tn.tp",69.6666666666667,8
"292","GL4_INLET","5","stream",2006-09-07,"Summer",0,"tn.tp",83.6923076923077,9
"302","GL4_INLET","5","stream",2007-07-05,"Snowmelt runoff",0,"tn.tp",109.4,7
"314","GL4_INLET","5","stream",2007-07-12,"Snowmelt runoff",0,"tn.tp",98.2608695652174,7
"322","GL4_INLET","5","stream",2007-07-19,"Snowmelt runoff",0,"tn.tp",99.6842105263158,7
"332","GL4_INLET","5","stream",2007-07-26,"Snowmelt runoff",0,"tn.tp",149,7
"342","GL4_INLET","5","stream",2007-08-02,"Summer",0,"tn.tp",158,8
"352","GL4_INLET","5","stream",2007-08-09,"Summer",0,"tn.tp",194.428571428571,8
"362","GL4_INLET","5","stream",2007-08-16,"Summer",0,"tn.tp",186.785714285714,8
"372","GL4_INLET","5","stream",2008-07-15,"Snowmelt runoff",0,"tn.tp",76.5714285714286,7
"382","GL4_INLET","5","stream",2008-07-24,"Snowmelt runoff",0,"tn.tp",97.2272727272727,7
"392","GL4_INLET","5","stream",2008-07-29,"Snowmelt runoff",0,"tn.tp",84.35,7
"402","GL4_INLET","5","stream",2004-06-29,"Snowmelt runoff",0,"tn.tp",182.631578947368,6
"144","GL4_LAKE","6","lake",1998-07-24,"Snowmelt runoff",0,"tn.tp",35.0606060606061,7
"215","GL4_LAKE","6","lake",1998-07-24,"Snowmelt runoff",3,"tn.tp",32.8648648648649,7
"315","GL4_LAKE","6","lake",1998-08-05,"Summer",0,"tn.tp",31.25,8
"414","GL4_LAKE","6","lake",1998-08-05,"Summer",3,"tn.tp",34.5666666666667,8
"513","GL4_LAKE","6","lake",1998-08-10,"Summer",0,"tn.tp",23.2765957446809,8
"613","GL4_LAKE","6","lake",1998-08-10,"Summer",3,"tn.tp",22.6136363636364,8
"712","GL4_LAKE","6","lake",1998-08-20,"Summer",0,"tn.tp",31.1071428571429,8
"813","GL4_LAKE","6","lake",1998-08-20,"Summer",3,"tn.tp",36.3793103448276,8
"913","GL4_LAKE","6","lake",1998-09-02,"Summer",0,"tn.tp",30.5,9
"1011","GL4_LAKE","6","lake",1998-09-02,"Summer",3,"tn.tp",37.3478260869565,9
"1113","GL4_LAKE","6","lake",1998-09-16,"Summer",0,"tn.tp",19.4390243902439,9
"1213","GL4_LAKE","6","lake",1998-11-26,"Summer",3,"tn.tp",184.444444444444,11
"1312","GL4_LAKE","6","lake",1999-01-27,"Winter",0,"tn.tp",80.1290322580645,1
"1410","GL4_LAKE","6","lake",1999-01-27,"Winter",3,"tn.tp",100.954545454545,1
"1511","GL4_LAKE","6","lake",1999-07-20,"Snowmelt runoff",0,"tn.tp",128.25,7
"163","GL4_LAKE","6","lake",1999-07-20,"Snowmelt runoff",3,"tn.tp",72.2,7
"173","GL4_LAKE","6","lake",1999-07-27,"Snowmelt runoff",0,"tn.tp",93.1875,7
"183","GL4_LAKE","6","lake",1999-07-27,"Snowmelt runoff",3,"tn.tp",53.125,7
"193","GL4_LAKE","6","lake",2002-06-25,"Snowmelt runoff",0,"tn.tp",156.133333333333,6
"203","GL4_LAKE","6","lake",2002-06-25,"Snowmelt runoff",3,"tn.tp",82.7333333333333,6
"216","GL4_LAKE","6","lake",2002-07-02,"Snowmelt runoff",0,"tn.tp",143.125,7
"223","GL4_LAKE","6","lake",2002-07-02,"Snowmelt runoff",3,"tn.tp",96.9565217391304,7
"232","GL4_LAKE","6","lake",2002-07-09,"Snowmelt runoff",0,"tn.tp",141.076923076923,7
"243","GL4_LAKE","6","lake",2002-07-09,"Snowmelt runoff",3,"tn.tp",127.055555555556,7
"253","GL4_LAKE","6","lake",2002-07-16,"Snowmelt runoff",0,"tn.tp",120.285714285714,7
"263","GL4_LAKE","6","lake",2002-07-16,"Snowmelt runoff",3,"tn.tp",98.05,7
